star_id,hip,hd,hr,gl,bf,star_name,ra,dec,distance_pc,pmra,pmdec,rv,apparent_magnitude,absolute_magnitude,spectral_class,color_index,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,luminosity,variability_type,var_min,var_max,name,temperature,mass,radius,stellar_age,metallicity,rotation_period,period,brightness,magnitude,habitability_index,cluster,anomaly_score,is_anomaly,embedding_x,embedding_y,flux,dataset_source,record_type
1,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,,Sol,5756.588112693915,1.0,1.0074529245876347,10.0,0.0,24.0,24.0,1.0,-26.7,1.0,1,0.26568829342945316,0,-0.8058363018026129,0.26126293450018784,1.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
2,1.0,224700.0,,,,1.0,6e-05,1.089009,219.7802,-5.2,-1.88,0.0,9.1,2.39,F,0.482,219.740502,0.003449,4.177065,4e-08,-5.54e-06,-2e-06,1.56934097753e-05,0.0190067882481512,-2.52103114e-08,-9.114497e-09,,,Psc,1,1,,9.638290236239705,,,,1.0,6471.667826414407,1.9104815904229673,2.474700459922395,1.9821789379610188,-0.05,17.3636016219907,17.3636016219907,9.638290236239705,9.1,0.485,1,0.2828523339854227,0,-0.46079899341393327,-0.5415534716095605,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
3,2.0,224690.0,,,,2.0,0.000283,-19.49884,47.9616,181.21,-0.93,0.0,9.27,5.866,K,0.999,45.210918,0.003365,-16.008996,-7e-08,4.213e-05,-2e-07,7.39611451172e-05,-0.3403189524517112,8.785308705e-07,-4.508767e-09,,,Cet,1,2,,0.3922834625395205,,,,2.0,4745.1404245925805,0.7653951646935163,0.9286604212244861,15.0,0.1,27.432689289012757,27.432689289012757,0.3922834625395205,9.27,0.601,3,0.19413376929768433,0,-0.8750463118209648,1.4647596372296319,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
4,3.0,224699.0,,,,3.0,0.000335,38.859279,442.4779,5.24,-2.91,0.0,6.61,-1.619,B,-0.019,344.552785,0.030213,277.614965,3.92e-06,1.124e-05,-4.86e-06,8.76262870725e-05,0.6782223625543176,2.54042369e-08,-1.4108078e-08,,,And,1,3,,386.9011316551087,,,,3.0,10368.595587759473,5.4867387989343435,6.1082274937233105,0.14181242570841932,-0.2,10.24599403856446,10.24599403856446,386.9011316551087,6.61,0.0,5,0.06005990285638152,0,-0.2688422958966378,-3.319910440758484,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
5,4.0,224707.0,,,,4.0,0.000569,-51.893546,134.2282,62.85,0.16,0.0,8.06,2.421,F,0.37,82.835513,0.012476,-105.61954,8e-08,4.09e-05,6e-08,0.0001489541722345,-0.9057132322126162,3.047053982e-07,7.75701e-10,,,Phe,1,4,,9.36698877952116,,,,4.0,7044.130880250591,1.8949597947435484,2.059208118838014,2.0230191786782723,-0.05,17.434570046219427,17.434570046219427,9.36698877952116,8.06,0.232,1,0.27292664254179555,0,-0.4976794345902264,-0.7591977905566887,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
6,5.0,224705.0,,,,5.0,0.000665,-40.591202,257.732,2.53,9.07,0.0,8.55,1.494,K,0.902,195.714261,0.034068,-167.695291,7.37e-06,3.16e-06,8.61e-06,0.0001740333256285,-0.70845012723975,1.22657861e-08,4.39726e-08,,,Phe,1,5,,21.998851090492497,,,,5.0,4991.060700472375,2.4184819873223478,6.285927556349264,1.0993674066767842,0.0,15.432625349003963,15.432625349003963,21.998851090492497,8.55,0.432,1,0.2662525194631383,0,-0.1995552429451194,0.3441990959051731,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
7,6.0,,,,,6.0,0.001246,3.946458,55.0358,226.29,-12.84,0.0,12.31,8.607,K,1.336,54.905296,0.017912,3.787796,2.2e-07,6.037e-05,-3.42e-06,0.0003262244926801,0.068878680311835,1.0970848777e-06,-6.2250076e-08,,,Psc,1,6,,0.0314195528464107,,12.462,12.162,6.0,4058.1073480583973,0.37207335593100505,0.35934202657664494,15.0,0.2,39.34567098567503,39.34567098567503,0.0314195528464107,12.31,0.201,3,0.07274216642244413,0,-1.4789061128773475,2.7469409969430525,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
8,7.0,,,,,7.0,0.00147,20.036114,57.8704,-208.12,-200.79,0.0,9.64,5.828,G,0.74,54.367897,0.020886,19.827115,1.932e-05,-5.838e-05,-5.292e-05,0.0003847233004702,0.3496961602478462,-1.008994232e-06,-9.73457389e-07,,,Peg,1,7,,0.4062561981868433,,,,7.0,5468.4090187676065,0.7730873579117752,0.7115953364998295,15.0,0.0,27.295870935653515,27.295870935653515,0.4062561981868433,9.64,0.904,1,0.2392096853440328,0,-0.9957386310652743,0.4513302954898195,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
9,8.0,224709.0,,,,8.0,0.001823,25.886461,200.8032,19.09,-5.66,-31.0,9.05,2.536,K,1.102,180.654532,0.086213,87.668389,-2.613e-05,1.857e-05,-1.88e-05,0.0004771378206517,0.4518039698960275,9.25509316e-08,-2.7440454e-08,,,Peg,1,8,,8.425583753398259,Z,11.748,7.648,8.0,4510.468346988966,1.8384725203655028,4.763342349989729,2.1820120411526367,0.2,17.700383268069885,17.700383268069885,8.425583753398259,9.05,0.2,0,0.17167466204491416,0,-0.15084007152081266,2.0508634685904745,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
10,9.0,224708.0,,,,9.0,0.002355,36.585958,420.1681,-6.3,8.42,0.0,8.59,0.473,K,1.067,337.379614,0.207994,250.431996,-1.021e-05,-1.284e-05,1.377e-05,0.0006165627464586,0.6385454301864713,-3.05432619e-08,4.0821311e-08,,,And,1,9,,56.33781508509383,,,,9.0,4587.424349968789,3.1639424212790415,11.907408256076087,0.5616019038899817,0.0,13.492640714106884,13.492640714106884,56.33781508509383,8.59,0.231,0,0.24786740252170014,0,-0.03371041196345244,0.4495762634438878,0.0,HYG Database (Hipparcos/Tycho/Gaia),stellar
