Date,open,high,low,close,volume,ticker,sector,channel,region,country,lat,lon,returns,rolling_vol_21,rolling_return_21,rolling_sharpe_21,max_drawdown,value_at_risk_95,risk_score,roi,cost,revenue,impressions,conversion_rate,campaign,geo_lat,geo_lon,audit_flag,risk_band,date
2023-11-24,189.731,189.761,188.121,188.836,24192727.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0,0.14038292050497655,,,0.0,,0.0,0.0,2266.03,2266.03,24193,5.0,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-11-24
2023-11-27,188.786,189.532,187.772,188.657,40796081.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0009479124743163592,0.14038292050497655,,,-0.0009479124743163592,,0.0,-0.095,2263.88,2261.73,40796,4.95,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-11-27
2023-11-28,188.647,189.94,188.271,189.263,38646060.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0032121787158705395,0.14038292050497655,,,-0.0009479124743163592,,0.0,0.321,2271.16,2278.46,38646,5.16,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-11-28
2023-11-29,189.761,190.944,187.841,188.241,43272476.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005399893270211287,0.14038292050497655,,,-0.005399893270211254,,0.0,-0.54,2258.89,2246.69,43272,4.73,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-11-29
2023-11-30,188.707,189.185,187.066,188.816,49087321.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0030545949075917456,0.14038292050497655,,,-0.005399893270211254,,0.0,0.305,2265.79,2272.71,49087,5.15,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-11-30
2023-12-01,189.195,190.417,188.101,190.098,45979229.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.006789678840776192,0.14038292050497655,,,-0.005399893270211254,,0.0,0.679,2281.18,2296.67,45979,5.34,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-01
2023-12-04,188.846,188.916,186.332,188.301,43650024.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.009453018969163396,0.14038292050497655,,,-0.009453018969163398,,0.0,-0.945,2259.61,2238.25,43650,4.53,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-04
2023-12-05,189.076,193.24,189.046,192.266,67028426.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.021056712391331,0.14038292050497655,,,-0.009453018969163398,,0.0,2.106,2307.19,2355.77,67028,6.05,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-05
2023-12-06,193.289,193.598,190.963,191.172,41336434.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005690033599284328,0.14038292050497655,,,-0.009453018969163398,,0.0,-0.569,2294.06,2281.01,41336,4.72,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-06
2023-12-07,192.474,193.836,192.434,193.11,47762705.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.01013746783001701,0.14038292050497655,,,-0.009453018969163398,,0.0,1.014,2317.32,2340.81,47763,5.51,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-07
2023-12-08,193.041,194.82,192.514,194.542,53727003.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.007415462689658758,0.14038292050497655,,,-0.009453018969163398,,0.0,0.742,2334.5,2351.81,53727,5.37,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-08
2023-12-11,191.958,192.335,190.277,192.027,61309597.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.012927799652517225,0.14038292050497655,,,-0.01292779965251719,,0.0,-1.293,2304.32,2274.53,61310,4.35,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-11
2023-12-12,191.928,193.558,190.577,193.548,53013285.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.007920761142964361,0.14038292050497655,,,-0.01292779965251719,,0.0,0.792,2322.58,2340.98,53013,5.4,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-12
2023-12-13,193.925,196.819,193.687,196.779,70826881.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.016693533387066806,0.14038292050497655,,,-0.01292779965251719,,0.0,1.669,2361.35,2400.77,70827,5.83,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-13
2023-12-14,196.839,198.429,194.99,196.928,67232820.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0007571946193445367,0.14038292050497655,,,-0.01292779965251719,,0.0,0.076,2363.14,2364.93,67233,5.04,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-14
2023-12-15,196.351,197.216,195.825,196.391,129310130.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0027268849528762074,0.14038292050497655,,,-0.01292779965251719,,0.0,-0.273,2356.69,2350.26,129310,4.86,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-15
2023-12-18,194.92,195.456,193.23,194.721,56086588.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.008503444658869208,0.14038292050497655,,,-0.01292779965251719,,0.0,-0.85,2336.65,2316.78,56087,4.57,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-18
2023-12-19,194.99,195.775,194.721,195.765,40958493.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.005361517247754355,0.14038292050497655,,,-0.01292779965251719,,0.0,0.536,2349.18,2361.78,40958,5.27,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-19
2023-12-20,195.725,196.501,193.667,193.667,52556474.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.010716931014226216,0.14038292050497655,,,-0.016559351641208926,,0.0,-1.072,2324.0,2299.09,52556,4.46,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-20
2023-12-21,194.93,195.904,192.345,193.519,46761624.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0007641983404503838,0.14038292050497655,,,-0.017310895352616172,,0.0,-0.076,2322.23,2320.46,46762,4.96,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-21
2023-12-22,194.015,194.244,191.818,192.444,37372611.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005555010102367253,0.14038292050497655,0.0009387607018139734,0.006687143268120672,-0.022769743256418597,,0.0,-0.556,2309.33,2296.5,37373,4.72,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-22
2023-12-26,192.454,192.733,191.679,191.898,29092938.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.002837189000436502,0.14096481402582384,0.0008036564636979495,0.005701113921596952,-0.025542330191745195,,0.0,-0.284,2302.78,2296.25,29093,4.86,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-26
2023-12-27,191.342,192.345,189.949,191.998,48376393.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0005211101731128487,0.14082660666205593,0.0008736099230993404,0.006203443680182946,-0.025542330191745195,,0.0,0.052,2303.98,2305.18,48376,5.03,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-27
2023-12-28,192.981,193.499,192.018,192.424,34254329.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.002218773112220074,0.14066069844565543,0.0008263048943540801,0.005874454652116809,-0.025542330191745195,,0.0,0.222,2309.09,2314.21,34254,5.11,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-28
2023-12-29,192.743,193.24,190.581,191.382,42928346.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005415124932440896,0.14066920317545317,0.0008255795771050511,0.005868943297242727,-0.028162577185570026,,0.0,-0.542,2296.58,2284.14,42928,4.73,AAPL-App_Store,37.3349,-122.009,OK,Low,2023-12-29
2024-01-02,186.032,187.316,182.788,184.532,82983926.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.03579228976601767,0.18898337099035864,-0.0010242720740192067,-0.0054199058290237715,-0.06294686382840392,,0.0,-3.579,2214.38,2135.12,82984,3.21,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-02
2024-01-03,183.121,184.771,182.335,183.151,58765173.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.007483796848243074,0.18801299795944496,-0.0017039613925439337,-0.009062997830136638,-0.06995957913552125,,0.0,-0.748,2197.81,2181.36,58765,4.63,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-03
2024-01-04,181.064,181.995,179.799,180.824,72415750.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.012705363334079567,0.19002875030487112,-0.001858834933730418,-0.009781861590670942,-0.08177608059798475,,0.0,-1.271,2169.89,2142.32,72416,4.36,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-04
2024-01-05,180.904,181.669,179.094,180.099,62754180.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0040094235278503865,0.1708088801522465,-0.0030524604536914363,-0.01787061920299868,-0.08545762918427019,,0.0,-0.401,2161.19,2152.52,62754,4.8,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-05
2024-01-08,180.999,184.492,180.417,184.453,59499566.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.024175592313116834,0.19466398484539962,-0.0016302877911961431,-0.00837488142704416,-0.08545762918427019,,0.0,2.418,2213.44,2266.95,59500,6.21,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-08
2024-01-09,182.823,184.046,181.639,184.036,43099026.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0022607385079126407,0.1898999654292912,-0.002220678569192793,-0.01169393877546364,-0.08545762918427019,,0.0,-0.226,2208.43,2203.44,43099,4.89,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-09
2024-01-10,183.25,185.287,182.823,185.079,47073846.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.005667369427720725,0.18887608640537856,-0.0023039211054755567,-0.012198056139996073,-0.08545762918427019,,0.0,0.567,2220.95,2233.54,47074,5.28,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-10
2024-01-11,185.427,185.934,182.524,184.482,49423369.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0032256495874735114,0.1849493987966314,-0.001841913959521094,-0.009959015663232543,-0.08545762918427019,,0.0,-0.323,2213.78,2206.64,49423,4.84,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-11
2024-01-12,184.949,185.626,184.084,184.81,40720805.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0017779512364350936,0.18206547995981373,-0.0021344287169748686,-0.011723412463724528,-0.08545762918427019,,0.0,0.178,2217.72,2221.66,40721,5.09,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-12
2024-01-16,181.074,183.161,179.853,182.534,65996913.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.012315350900925282,0.17170420326370758,-0.003515804159260206,-0.02047593531452778,-0.08545762918427019,,0.0,-1.232,2190.41,2163.43,65997,4.38,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-16
2024-01-17,180.189,181.839,179.224,181.589,47601521.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005177117687663602,0.17107285575528733,-0.003798390459593927,-0.02220334981154093,-0.08545762918427019,,0.0,-0.518,2179.07,2167.79,47602,4.74,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-17
2024-01-18,184.979,188.011,184.722,187.504,78474091.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.03257355897108294,0.21253836946861088,-0.0021174169394053964,-0.009962516155079993,-0.08545762918427019,,0.0,3.257,2250.05,2323.34,78474,6.63,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-18
2024-01-19,188.201,190.804,187.693,190.417,69316670.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.015535668572403738,0.21963274369019314,-0.0009726972617257322,-0.004428744300065693,-0.08545762918427019,,0.0,1.554,2285.0,2320.5,69317,5.78,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-19
2024-01-22,191.152,194.165,191.113,192.733,60494888.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.012162779583755556,0.22333665312357634,-0.000648827626678056,-0.0029051551440553176,-0.08545762918427019,,0.0,1.216,2312.8,2340.93,60495,5.61,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-22
2024-01-23,193.855,194.582,192.673,194.015,42609887.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.006651689124332449,0.2215684720817673,0.00017824952277711859,0.0008044895607319873,-0.08545762918427019,,0.0,0.665,2328.18,2343.67,42610,5.33,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-23
2024-01-24,194.254,195.208,193.18,193.339,53953311.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.003484266680411241,0.22191433899441304,4.872245896945872e-05,0.0002195552535732509,-0.08545762918427019,,0.0,-0.348,2320.07,2311.99,53953,4.83,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-24
2024-01-25,194.055,195.095,191.96,193.011,55151271.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0016965019990793362,0.2210876642235184,0.00023246094007840713,0.0010514423809887033,-0.08545762918427019,,0.0,-0.17,2316.13,2312.2,55151,4.92,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-25
2024-01-26,193.11,193.598,190.794,191.272,44861748.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.009009849179580476,0.22319153950372098,-6.147525892844878e-05,-0.0002754372278857097,-0.08545762918427019,,0.0,-0.901,2295.26,2274.58,44862,4.55,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-26
2024-01-29,190.864,191.053,188.448,190.586,47428678.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.003586515538081758,0.22350979775564606,-0.0002570764832710491,-0.0011501799288105487,-0.08545762918427019,,0.0,-0.359,2287.03,2278.83,47429,4.82,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-29
2024-01-30,189.801,190.656,186.351,186.917,56194742.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.01925115171103864,0.23269848060871895,-0.0012794538558071782,-0.00549833351924017,-0.08545762918427019,,0.0,-1.925,2243.0,2199.82,56195,4.04,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-30
2024-01-31,185.924,185.979,183.25,183.299,55800824.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.01935618483070023,0.24069429318797653,-0.0019433138509623847,-0.008073784489126639,-0.08545762918427019,,0.0,-1.936,2199.59,2157.01,55801,4.03,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-01-31
2024-02-01,182.888,185.834,182.723,185.745,65274972.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.013344317208495493,0.21211642109221884,0.0003965245763953851,0.0018693723680308265,-0.08545762918427019,,0.0,1.334,2228.94,2258.68,65275,5.67,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-01
2024-02-02,178.787,186.212,178.181,184.742,103167387.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0053998761743251356,0.2112620535973719,0.0004957588942010012,0.0023466537684322143,-0.08545762918427019,,0.0,-0.54,2216.9,2204.93,103167,4.73,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-02
2024-02-05,187.026,188.121,184.732,186.561,70087103.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.00984616383930037,0.20792386602988763,0.0015696411405524268,0.007549114829977246,-0.08545762918427019,,0.0,0.985,2238.73,2260.77,70087,5.49,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-05
2024-02-06,185.745,188.181,185.655,188.171,43751872.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.008629885131404613,0.20826033811554165,0.0021715129814693316,0.010426915662955415,-0.08545762918427019,,0.0,0.863,2258.05,2277.54,43752,5.43,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-06
2024-02-07,189.502,189.911,187.486,188.281,53759796.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0005845746687853648,0.1922745861396806,0.0010481311888821186,0.005451220621120926,-0.08545762918427019,,0.0,0.058,2259.37,2260.69,53760,5.03,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-07
2024-02-08,188.256,188.403,186.232,187.196,41207977.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005762663253328859,0.193413238940757,0.0008813728676718226,0.004556941771404746,-0.08545762918427019,,0.0,-0.576,2246.35,2233.41,41208,4.71,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-08
2024-02-09,187.763,189.098,187.116,187.962,45368429.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0040919677770892005,0.19299859853504775,0.0008063537414512737,0.004178028999028422,-0.08545762918427019,,0.0,0.409,2255.54,2264.77,45368,5.2,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-09
2024-02-12,187.529,187.783,185.912,186.271,41979219.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.008996499292410198,0.19553630675622902,0.0005315513745495268,0.002718428016604613,-0.08545762918427019,,0.0,-0.9,2235.25,2215.14,41979,4.55,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-12
