date,channel,messaging_consistency,customer_engagement,synchronization_score,revenue
2024-01-01,Website,87.10582566280392,73.20457481218804,77.44076469689557,5456.592191001431
2024-01-01,Mobile App,70.85971302788046,87.27961206236346,80.17559963200034,6962.700559185838
2024-01-01,In-Store,77.79277690223527,75.60204063533432,85.93420558686559,2663.6900997297435
2024-01-01,Social Media,94.23961569411397,83.25398470083344,93.78997883128378,9053.44615384884
2024-01-01,Email,84.94749947027712,87.6562270506935,76.7698500410384,2763.8457617723066
2024-01-01,SMS,71.13068222276345,69.75990992289793,82.77354579378964,3442.141285965063
2024-01-01,Push Notification,90.71843772879824,70.70259980080768,80.61869019374761,5884.264748424236
2024-01-02,Website,73.52310562436907,84.06590942262119,76.49101287359542,9881.982429404656
2024-01-02,Mobile App,89.30611923241644,65.96147044602517,75.11044234247206,8339.152856093508
2024-01-02,In-Store,87.67143359619043,81.87021504122961,90.42540693371892,1666.4018656068133
2024-01-02,Social Media,78.96164321360682,63.47607178575389,92.26206851751186,6609.683141448021
2024-01-02,Email,78.27245062131622,61.90675050858071,81.21964643431325,3926.6498982407234
2024-01-02,SMS,88.2401544584516,79.12672414065639,92.74425485152653,5249.934326457544
2024-01-02,Push Notification,72.98985614845755,81.39734361668985,90.21570097233794,6051.494778125466
2024-01-03,Website,89.27417949886403,74.81386789093172,85.45465658763987,4847.869165226946
2024-01-03,Mobile App,70.63547816860238,63.23674280979913,75.62858371373468,6727.6937013740235
2024-01-03,In-Store,77.85889952690816,75.25712073494108,93.15132947852186,3243.6300623398747
2024-01-03,Social Media,80.25957307589074,82.66653415629146,79.57596330983245,1692.819188459137
2024-01-03,Email,77.2437863228442,64.83663861762014,93.59395304685147,8273.083416079753
2024-01-03,SMS,85.83509391276058,86.14381770563153,91.07344153798229,2679.1305299743226
2024-01-03,Push Notification,92.31397496224945,76.18026725746952,91.14880310328125,9064.821699311438
2024-01-04,Website,77.9500868742966,63.3015577358303,79.55870325083883,4843.9700976363065
2024-01-04,Mobile App,90.45036914806232,85.82191749769031,75.13904261062382,5596.725723198091
2024-01-04,In-Store,80.43527507871947,66.66323431412191,77.39730734667366,4038.5365426326516
2024-01-04,Social Media,93.57274259781298,69.69608796062266,85.37581243486733,7327.1706300566
2024-01-04,Email,79.09074005948234,89.15346248162882,94.24894589884222,3266.0406624282773
2024-01-04,SMS,82.43121264730964,69.02634929450309,80.69680988754935,1331.9825261907952
2024-01-04,Push Notification,85.23910834949743,75.08037069686584,76.02957502499979,3507.818178129503
2024-01-05,Website,92.70664714916634,67.18685672000917,77.89789744182445,5405.0748424980675
2024-01-05,Mobile App,94.64126135276501,67.26165814534501,88.44271094811756,7854.576537958458
2024-01-05,In-Store,75.94093859981,81.84649045835579,82.35566265438507,6690.752475342215
2024-01-05,Social Media,85.83824276902237,76.07324052224276,76.80579540108816,8517.72246030314
2024-01-05,Email,78.0195016242934,65.59555531199562,75.81550283109527,6318.036488694176
2024-01-05,SMS,86.93910904605706,60.497634867835686,85.24186116598563,3038.4619767814415
2024-01-05,Push Notification,86.12931976023624,65.23099287014975,88.81875476204932,4480.618116704837
2024-01-06,Website,93.41824971841837,64.1256283243798,81.82132702100517,2021.2616911653017
2024-01-06,Mobile App,93.11734045696407,86.32018060142943,80.15883255430312,6939.856414307611
2024-01-06,In-Store,90.4305550050304,76.65602434798387,85.59301156712013,3176.670618104065
2024-01-06,Social Media,72.32756919514748,86.91647273859981,93.00836114326661,6697.9131154594115
2024-01-06,Email,78.47574477621751,70.47628723837983,89.51911357740478,9073.992339573193
2024-01-06,SMS,92.17716060662794,83.39626637572871,87.84063292308575,1757.2596849554395
2024-01-06,Push Notification,74.04071785236535,86.95662565581237,87.12858119319179,1082.7734645496669
2024-01-07,Website,72.5367885716508,79.90505307324167,75.10123167692437,2447.272462757488
2024-01-07,Mobile App,83.71834473416466,80.7568559307808,88.03922519005201,3018.423785145038
2024-01-07,In-Store,87.80448053368839,67.117472624904,81.50799396318536,7718.422646062218
2024-01-07,Social Media,86.24082247618037,85.47670231482533,88.15225784600686,6114.777430019245
2024-01-07,Email,72.34186919570232,71.03147409178301,80.3040473536345,3195.9067904117524
2024-01-07,SMS,94.32526386881113,71.79293174000281,92.84093110354226,6680.247633975366
2024-01-07,Push Notification,89.87028258854122,75.07911279315576,86.53807769252718,5432.6592443697755
2024-01-08,Website,74.88107469495111,81.67356345784516,80.61544724881712,1218.8436978830846
2024-01-08,Mobile App,86.13680739767919,65.31332038221147,93.80917168705828,9585.357193023287
2024-01-08,In-Store,92.87160975551122,71.10476100766333,75.30913233057734,9354.867063289528
2024-01-08,Social Media,80.70460370793286,88.99964457131009,94.27239954178506,8677.08509920624
2024-01-08,Email,77.36122230173964,71.55293185805776,92.02273343033714,3852.298046406499
2024-01-08,SMS,74.23731866715231,76.70403787375051,93.72309548321562,7264.268170074757
2024-01-08,Push Notification,84.25152925223412,62.915294813123054,87.3001445339834,9910.48465093837
2024-01-09,Website,73.5021003809131,75.5498895709121,92.54746143855911,7666.91755978784
2024-01-09,Mobile App,87.4253935248817,81.07452251961328,82.18982302439511,3642.3265983804404
2024-01-09,In-Store,90.23402888696285,84.30340184037543,92.34144637160207,9219.16497300824
2024-01-09,Social Media,82.78355997152345,75.04548884061599,90.9659035793355,6849.675376999887
2024-01-09,Email,87.54917193144259,83.87378008308303,92.80010683635133,4041.956411663822
2024-01-09,SMS,79.3895738159986,62.81945819522607,86.56560281992348,1323.4804641706787
2024-01-09,Push Notification,81.6399504533115,76.2793390412273,80.73082504256568,6317.499345121097
2024-01-10,Website,70.76250624847624,61.120445662476435,91.45201121319316,4241.715772701366
2024-01-10,Mobile App,73.17651281629712,75.66729780164412,90.39987106197222,2942.3892474715885
2024-01-10,In-Store,85.57226189547501,62.56042394981304,76.03363442337215,5782.191684113332
2024-01-10,Social Media,83.51587804025266,79.1228970449462,89.52182667445324,9782.668715162812
2024-01-10,Email,82.90750870752989,69.68869418823738,90.90372389537407,3437.490261358668
2024-01-10,SMS,80.97428551764091,62.35369144026798,75.50701486830916,9663.835732101326
2024-01-10,Push Notification,90.89950301280514,80.87922618281094,83.1790588882854,2559.648880637612
2024-01-11,Website,73.91092606677715,67.50728694493786,85.98453329412241,7431.363304300561
2024-01-11,Mobile App,86.50493441794328,68.39801690837828,94.09730561326388,7641.072250261916
2024-01-11,In-Store,83.85885131278502,78.35162238703057,83.3920012485558,3229.5789055104174
2024-01-11,Social Media,78.89931696628155,82.73538331393107,75.28786977259512,2044.6537645622461
2024-01-11,Email,71.15006605054381,61.2218640695691,92.10921168022014,7332.920734420213
2024-01-11,SMS,81.85434572718313,62.93502481953004,84.83231750233665,5261.245937025091
2024-01-11,Push Notification,74.33004674775037,73.01554947713919,82.97009468794747,6542.650882469949
2024-01-12,Website,85.8773412716911,61.35912029316133,82.49225229252943,6632.739241428128
2024-01-12,Mobile App,82.5784064645022,85.69469523564968,88.1738726323789,2466.409843732867
2024-01-12,In-Store,71.76421868501075,79.27257834618946,75.53022621083244,6271.98023146117
2024-01-12,Social Media,93.50575603562395,77.26422533627637,82.76339852413044,6789.593965981178
